Water,d (m),L,lambda (nm),N,clicks,n_sift,errors,P_click,P_click (model),QBER,QBER upper 95%,QBER (model),SKR/pulse
clear_ocean,25.0,1,450,10485760,12374,6124,228,0.0011800765991210938,0.001189251674930225,0.037230568256041804,0.04227962710710501,0.03689666106451924,0.00029325250426799875
clear_ocean,25.0,2,450,10485760,12581,6274,226,0.001199817657470703,0.001189251674930225,0.036021676761236854,0.040933211210069265,0.03689666106451924,0.00030765370137637003
clear_ocean,25.0,3,450,10485760,12594,6392,239,0.0012010574340820313,0.001189251674930225,0.03739048811013767,0.042335534619642304,0.03689666106451924,0.0003056825808204995
clear_ocean,25.0,4,450,10485760,11536,5679,222,0.00110015869140625,0.001189251674930225,0.03909138932910724,0.04446253377406789,0.03689666106451924,0.00026157459912580624
clear_ocean,25.0,5,450,10485760,13205,6612,231,0.0012593269348144531,0.001189251674930225,0.034936479128856626,0.03964801563366315,0.03689666106451924,0.0003315004833284451
clear_ocean,5.0,3,450,931584,10041,5001,78,0.010778416117065127,0.010390705048429205,0.015596880623875225,0.01942786526055681,0.016426354950882422,0.003922679981162127
clear_ocean,10.0,3,450,1735680,10152,5000,100,0.005849004424778761,0.006040680527801046,0.02,0.024272569792539805,0.021825403123282367,0.0019527950662273804
clear_ocean,15.0,3,450,3179360,9902,5000,137,0.0031144632882089476,0.0035108369467927725,0.0274,0.03231003361391984,0.02680262388306994,0.0009376042969395843
clear_ocean,20.0,3,450,4043744,7799,4000,137,0.0019286581939905196,0.002041696640462165,0.03425,0.040361989006104805,0.03167642968937101,0.0005156159735203368
clear_ocean,25.0,3,450,4798368,5846,3000,100,0.0012183308991723853,0.001189251674930225,0.03333333333333333,0.04039528727732443,0.03689666106451924,0.00032661268133939186
clear_ocean,30.0,3,450,6953536,4032,2000,82,0.0005798488711354913,0.0006353764639221993,0.041,0.05063840339803214,0.043955634936396606,0.0001251770619967386
clear_ocean,35.0,3,450,9119008,2366,1200,56,0.00025945804631380957,0.00027805438382544345,0.04666666666666667,0.06017550316503035,0.058356691546911074,4.7561021095943556e-05
clear_ocean,40.0,3,450,8347904,1231,600,43,0.00014746216535312337,0.00013061992737861683,0.07166666666666667,0.09532314344396937,0.08454949624129844,8.441092466367248e-06
clear_ocean,50.0,3,450,9527168,295,150,40,3.096408082653733e-05,3.828578902742574e-05,0.26666666666666666,0.3449492094077142,0.19731616583077385,0.0
coastal,2.0,3,450,1293440,10330,5000,136,0.007986454725383474,0.008527972063457012,0.0272,0.03209412526045353,0.026017145793936162,0.0023128531541797264
coastal,4.0,3,450,2467296,10035,5000,177,0.0040672055562040385,0.004067421797796844,0.0354,0.04090063383253317,0.03622680478399798,0.0010444049550330965
coastal,6.0,3,450,3937504,7983,4000,180,0.0020274265118206862,0.001941251905035024,0.045,0.05188979474842502,0.04365109497883406,0.00042737106440577836
coastal,8.0,3,450,6660672,5999,3000,162,0.0009006598733581236,0.0009295490468193002,0.054,0.06269953691244307,0.05055315835707633,0.00015086704157631515
coastal,10.0,3,450,8660544,3997,2000,119,0.0004615183526577545,0.00044854417328565876,0.0595,0.0707795372688371,0.05955080089678546,6.375519232865044e-05
coastal,13.0,3,450,10540768,1587,800,62,0.00015055828949086064,0.00015564409896517972,0.0775,0.09825312367917066,0.08598639319760694,7.2102173782150584e-06
coastal,16.0,3,450,10105504,603,300,60,5.967045285420698e-05,5.971244791569408e-05,0.2,0.249804401530661,0.14730706867951449,0.0
coastal,19.0,3,450,12072992,302,150,34,2.5014511729983754e-05,2.8296688824980265e-05,0.22666666666666666,0.3020774325061648,0.256515929695652,0.0
harbor,0.5,3,450,2044896,9915,5000,212,0.004848657340030984,0.005123440206782459,0.0424,0.04835855446198105,0.039494256832988815,0.0010993072034019952
harbor,1.0,3,450,5429056,7882,4000,220,0.0014518177745818058,0.0014703280283878684,0.055,0.06252154231868456,0.05060024092553427,0.00024669825772308577
harbor,1.5,3,450,7381056,3072,1500,90,0.0004162006086933902,0.0004280375422650584,0.06,0.07323794246543328,0.06270258076779563,5.286633963620981e-05
harbor,2.0,3,450,8973184,1202,600,57,0.0001339546809694307,0.00013115590192103177,0.095,0.12133062092934677,0.0943422220892,0.0
harbor,2.5,3,450,11312096,512,250,36,4.526128491130203e-05,4.663390781900478e-05,0.144,0.1937425225198343,0.17538448900644074,0.0
harbor,3.0,3,450,10427232,236,120,38,2.263304393725967e-05,2.2573838763917387e-05,0.31666666666666665,0.4078469324799685,0.30913931539319706,0.0
harbor,3.5,3,450,9577632,159,80,34,1.660118075115018e-05,1.572515463754698e-05,0.425,0.5406111885690619,0.422014279234018,0.0
clear_ocean,5.0,3,450,89184,809,400,6,0.00907113383566559,0.010390705048429205,0.015,0.03236129448077496,0.016426354950882422,0.002768891279027343
clear_ocean,5.0,3,532,83072,847,400,9,0.010195974576271187,0.009442802606983491,0.0225,0.04228103003667277,0.01742133321801046,0.00252904812438322
clear_ocean,5.0,3,650,238272,741,400,14,0.0031098912167606767,0.0034005690020358914,0.035,0.058027261682416245,0.027088557981626904,0.0006584804611330392
harbor,0.5,3,450,142304,816,400,19,0.0057342028333708115,0.005123440206782459,0.0475,0.07318536540137065,0.039494256832988815,0.0007764423825747343
harbor,0.5,3,532,105472,818,400,14,0.00775561286407767,0.007084428674442922,0.035,0.058027261682416245,0.03478688217220133,0.001487574488348486
harbor,0.5,3,650,120160,803,401,11,0.0066827563249001335,0.0077715219587688456,0.02743142144638404,0.04855149962601148,0.033179436902449844,0.0015701453920923738
clear_ocean,5.0,3,450,883488,10063,5000,79,0.011390081132963888,0.010390705048429205,0.0158,0.01965310203262797,0.016426354950882422,0.004121102517914675
clear_ocean,10.0,3,450,1586432,10048,5000,122,0.0063337098596094885,0.006040680527801046,0.0244,0.029064376115464727,0.021825403123282367,0.0019805159183346565
clear_ocean,15.0,3,450,2127168,10036,5000,110,0.004718010049041731,0.0035108369467927725,0.022,0.026455844906704783,0.02680262388306994,0.0015396628660660913
clear_ocean,20.0,3,450,3333792,8046,4000,115,0.0024134679068160223,0.002041696640462165,0.02875,0.03441012105862055,0.03167642968937101,0.0006921145229637043
clear_ocean,25.0,3,450,3922304,5956,3001,101,0.001518495251770388,0.001189251674930225,0.03365544818393869,0.04074553807261975,0.03689666106451924,0.0003972585439475843
clear_ocean,30.0,3,450,4028064,3937,2000,88,0.0009773926134242156,0.0006353764639221993,0.044,0.05393046169765881,0.043955634936396606,0.0002024640847079818
clear_ocean,35.0,3,450,6578688,2412,1200,57,0.0003666384543544245,0.00027805438382544345,0.0475,0.06110669526122855,0.058356691546911074,6.458656919604634e-05
clear_ocean,40.0,3,450,6255808,1172,600,48,0.00018734590319907516,0.00013061992737861683,0.08,0.1046706946656102,0.08454949624129844,5.5612639022813565e-06
clear_ocean,50.0,3,450,6588800,297,150,24,4.5076493443419134e-05,3.828578902742574e-05,0.16,0.22864918353310773,0.19731616583077385,0.0
coastal,2.0,3,450,1012128,10065,5000,137,0.009944394384899934,0.008527972063457012,0.0274,0.03231003361391984,0.026017145793936162,0.0029452614664526983
coastal,4.0,3,450,1887168,9888,5000,152,0.005239597110591108,0.004067421797796844,0.0304,0.03554143141002901,0.03622680478399798,0.001497191873522737
clear_ocean,45.0,3,450,16414368,1626,810,77,9.905955562833731e-05,6.686262273658539e-05,0.09506172839506173,0.11737765275796311,0.1296674493715541,0.0
clear_ocean,45.0,3,450,24620064,1615,810,110,6.559690502835411e-05,6.686262273658539e-05,0.13580246913580246,0.16133911639325066,0.1296674493715541,0.0
