attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
147,0,1,0,1,0,0,255,1,9,0
301,0,0,1,1,0,0,255,1,9,0
632,0,0,1,1,0,0,255,1,9,0
848,0,0,1,1,0,0,255,1,9,0
1105,0,0,0,0,1,0,255,1,9,0
1117,0,1,1,0,1,0,255,1,9,0
1127,1,0,1,0,0,0,255,1,9,0
1137,1,0,1,0,0,0,255,1,9,0
1154,1,1,0,0,0,0,255,1,9,0
1232,1,1,1,1,1,0,255,1,9,0
1248,0,0,0,0,1,0,255,1,9,0
1370,0,1,0,1,0,0,255,1,9,0
1406,0,0,0,0,1,0,255,1,9,0
1526,1,0,1,0,0,0,255,1,9,0
1737,1,1,0,0,0,0,255,1,9,0
1819,1,1,0,0,0,0,255,1,9,0
1891,0,1,1,0,1,0,255,1,9,0
2105,1,1,0,0,0,0,255,1,9,0
2265,1,1,1,1,1,0,255,1,9,0
2562,0,1,1,0,1,0,255,1,9,0
2667,0,0,1,1,0,0,255,1,9,0
2686,0,1,0,1,0,0,255,1,9,0
2725,1,1,1,1,1,0,255,1,9,0
2778,0,0,1,1,0,0,255,1,9,0
3178,1,1,1,1,1,0,255,1,9,0
3183,1,1,0,0,0,0,255,1,9,0
3291,1,0,1,0,0,0,255,1,9,0
3376,1,1,0,1,0,0,255,1,9,0
3428,1,1,1,1,1,0,255,1,9,0
3436,0,0,1,1,0,0,255,1,9,0
3524,0,1,1,0,1,0,255,1,9,0
3623,1,0,1,0,0,0,255,1,9,0
3879,1,0,1,0,0,0,255,1,9,0
3950,1,1,1,1,1,0,255,1,9,0
3989,1,0,0,1,1,0,255,1,9,0
3992,1,0,0,1,1,0,255,1,9,0
4068,1,0,1,0,0,0,255,1,9,0
4092,0,1,1,0,1,0,255,1,9,0
4221,0,1,1,0,1,0,255,1,9,0
4299,0,1,1,0,1,0,255,1,9,0
4527,0,1,1,0,1,0,255,1,9,0
4632,1,1,0,0,0,0,255,1,9,0
4765,0,0,1,1,0,0,255,1,9,0
4876,0,0,0,0,1,0,255,1,9,0
5000,1,0,1,0,0,0,255,1,9,0
5115,0,1,1,0,1,0,255,1,9,0
5144,0,0,0,0,1,0,255,1,9,0
5269,0,0,0,0,1,0,255,1,9,0
5417,0,1,0,1,0,0,255,1,9,0
5495,0,1,1,0,1,0,255,1,9,0
5542,0,0,1,1,0,0,255,1,9,0
5636,0,0,0,0,1,0,255,1,9,0
5696,0,0,0,0,1,0,255,1,9,0
5947,1,0,0,1,1,0,255,1,9,0
6206,0,0,0,0,1,0,255,1,9,0
6323,1,0,1,1,0,0,255,1,9,0
6460,1,0,0,1,1,0,255,1,9,0
6759,1,0,1,0,0,0,255,1,9,0
6789,1,1,1,1,1,0,255,1,9,0
6869,0,1,1,0,1,0,255,1,9,0
6928,0,1,1,0,1,0,255,1,9,0
6964,1,1,1,1,1,0,255,1,9,0
7045,1,1,1,1,1,0,255,1,9,0
7144,1,1,1,1,1,0,255,1,9,0
7261,1,1,1,1,1,0,255,1,9,0
