attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
12,0,0,0,0,1,0,149,1,9,0
659,0,0,0,0,1,0,149,1,9,0
705,1,1,1,1,1,0,149,1,9,0
940,0,0,0,0,1,0,149,1,9,0
1005,0,0,1,1,0,0,149,1,9,0
1579,0,0,1,1,0,0,149,1,9,0
1619,0,0,1,1,0,0,149,1,9,0
1887,0,1,1,0,1,0,149,1,9,0
1986,1,0,1,0,0,0,149,1,9,0
2049,1,1,1,1,1,0,149,1,9,0
4902,0,1,0,1,0,0,149,1,9,0
5395,1,0,1,0,0,0,149,1,9,0
6632,0,1,0,1,0,0,149,1,9,0
6657,1,0,0,0,1,1,149,1,9,0
7712,1,0,1,0,0,0,149,1,9,0
7948,1,1,1,1,1,0,149,1,9,0
8084,1,0,0,1,1,0,149,1,9,0
8090,1,1,0,0,0,0,149,1,9,0
9208,0,0,0,0,1,0,149,1,9,0
10027,0,1,0,1,0,0,149,1,9,0
10418,1,0,1,0,0,0,149,1,9,0
10489,1,0,1,0,0,0,149,1,9,0
10713,1,1,1,1,1,0,149,1,9,0
10717,0,0,0,0,1,0,149,1,9,0
11038,0,0,1,1,0,0,149,1,9,0
11226,1,0,0,1,1,0,149,1,9,0
11275,0,1,1,0,1,0,149,1,9,0
12010,0,0,1,1,0,0,149,1,9,0
12412,1,1,1,1,1,0,149,1,9,0
12838,0,1,1,0,1,0,149,1,9,0
13401,1,0,1,0,0,0,149,1,9,0
13608,0,1,1,0,1,0,149,1,9,0
14267,1,0,1,0,0,0,149,1,9,0
14426,1,1,0,0,0,0,149,1,9,0
15146,0,1,0,1,0,0,149,1,9,0
16462,0,1,1,0,1,0,149,1,9,0
16670,1,1,1,1,1,0,149,1,9,0
16874,0,0,0,0,1,0,149,1,9,0
17151,0,0,0,0,1,0,149,1,9,0
18736,0,0,0,0,1,0,149,1,9,0
19115,1,0,1,0,0,0,149,1,9,0
19309,1,1,0,0,0,0,149,1,9,0
19811,0,1,0,1,0,0,149,1,9,0
20209,0,1,1,0,1,0,149,1,9,0
20797,0,1,1,0,1,0,149,1,9,0
21014,1,1,1,1,1,0,149,1,9,0
21489,0,1,1,0,1,0,149,1,9,0
21974,1,0,0,0,1,1,149,1,9,0
22451,1,0,0,1,1,0,149,1,9,0
26069,1,0,0,1,1,0,149,1,9,0
27075,0,1,1,0,1,0,149,1,9,0
27325,0,1,0,1,0,0,149,1,9,0
27625,1,1,0,0,0,0,149,1,9,0
31245,1,0,0,1,1,0,149,1,9,0
31656,1,1,1,1,1,0,149,1,9,0
32302,1,0,0,1,1,0,149,1,9,0
33077,1,1,1,1,1,0,149,1,9,0
33369,0,1,0,0,0,0,149,1,9,0
33638,1,0,0,1,1,0,149,1,9,0
34084,0,0,1,1,0,0,149,1,9,0
34765,0,1,1,0,1,0,149,1,9,0
34865,0,1,0,1,0,0,149,1,9,0
35417,0,0,0,0,1,0,149,1,9,0
36222,0,1,0,1,0,0,149,1,9,0
36413,1,1,0,1,0,0,149,1,9,0
36625,0,1,1,0,1,0,149,1,9,0
36932,1,0,1,1,0,0,149,1,9,0
38123,1,1,0,0,0,0,149,1,9,0
38350,1,1,1,1,1,0,149,1,9,0
38383,0,1,1,0,1,0,149,1,9,0
38822,0,0,0,0,1,0,149,1,9,0
39190,1,1,1,1,1,0,149,1,9,0
40530,0,1,0,1,0,0,149,1,9,0
41205,1,1,0,1,0,0,149,1,9,0
41678,1,0,1,0,0,0,149,1,9,0
42138,0,1,1,0,1,0,149,1,9,0
42426,1,1,0,0,0,0,149,1,9,0
44061,1,1,1,1,1,0,149,1,9,0
44349,0,0,1,1,0,0,149,1,9,0
45046,0,1,1,0,1,0,149,1,9,0
45123,1,1,0,0,0,0,149,1,9,0
46427,1,1,0,0,0,0,149,1,9,0
46470,1,0,1,0,0,0,149,1,9,0
48727,0,1,0,1,0,0,149,1,9,0
48779,0,1,0,1,0,0,149,1,9,0
49146,0,0,1,1,0,0,149,1,9,0
50028,1,0,0,1,1,0,149,1,9,0
50348,0,1,1,0,1,0,149,1,9,0
50743,1,1,1,1,1,0,149,1,9,0
