attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
39577,0,1,1,0,1,0,35,1,9,0
43179,0,0,0,1,1,1,35,1,9,0
103596,1,0,0,1,1,0,127,1,9,0
143940,0,1,1,0,1,0,184,1,9,0
160727,0,0,0,1,1,1,184,1,9,0
175360,1,1,0,0,0,0,184,1,9,0
176466,0,1,0,1,0,0,184,1,9,0
178447,0,1,1,0,1,0,184,1,9,0
183222,1,0,0,1,1,0,184,1,9,0
232956,0,0,1,0,0,0,81,1,9,0
334445,1,1,1,1,1,0,115,1,9,0
395915,1,0,0,1,1,0,68,1,9,0
410689,0,1,0,0,0,0,68,1,9,0
447939,1,0,1,0,0,0,68,1,9,0
448240,0,1,1,0,1,0,68,1,9,0
513976,0,0,1,1,0,0,79,2,12,0
535789,1,1,1,1,1,0,143,2,12,0
585065,0,1,0,1,0,0,143,2,12,0
616512,0,0,1,1,0,0,187,3,12,0
638445,0,0,1,0,0,0,187,3,12,0
719212,1,0,0,1,1,0,41,3,12,0
728407,0,1,1,0,1,0,136,3,12,0
745124,0,1,1,1,1,1,136,3,12,0
755270,1,1,0,1,0,0,136,3,12,0
762388,1,1,0,0,0,0,136,3,12,0
786418,0,0,1,1,0,0,136,3,12,0
804983,1,1,1,0,1,1,112,3,12,0
811854,0,0,0,0,1,0,112,3,12,0
819387,1,0,0,1,1,0,112,3,12,0
909286,1,0,1,0,0,0,75,3,12,0
926695,0,1,1,0,1,0,101,3,12,0
937060,0,0,1,1,0,0,101,3,12,0
999595,0,1,0,1,0,0,95,3,12,0
1018779,1,0,1,0,0,0,95,3,12,0
1024298,0,0,1,1,0,0,95,3,12,0
1061207,1,1,1,1,1,0,241,3,12,0
1100695,1,0,0,1,1,0,241,3,12,0
1112048,1,0,0,1,1,0,241,3,12,0
1115231,0,0,1,1,0,0,128,3,12,0
1123728,1,0,1,0,0,0,128,3,12,0
1125613,1,0,0,0,1,1,128,3,12,0
1133135,0,1,0,1,0,0,128,3,12,0
1231708,1,1,1,1,1,0,56,3,12,0
1255216,0,0,1,1,0,0,52,3,12,0
1267868,1,1,1,1,1,0,52,3,12,0
1303052,0,1,0,1,0,0,52,3,12,0
1313164,0,0,0,0,1,0,172,3,12,0
1354586,1,1,0,0,0,0,172,3,12,0
1497970,0,1,1,1,1,1,77,3,12,0
1530131,1,0,1,0,0,0,147,3,12,0
1538846,1,1,0,0,0,0,147,3,12,0
1558673,0,0,0,0,1,0,147,3,12,0
1605709,0,0,1,1,0,0,255,3,12,0
1605794,0,1,0,1,0,0,255,3,12,0
1620771,0,1,1,0,1,0,255,3,12,0
1725884,0,0,0,0,1,0,135,3,12,0
1782738,0,1,0,1,0,0,249,3,12,0
1791866,0,1,1,0,1,0,249,3,12,0
1798461,1,0,1,0,0,0,249,3,12,0
1827975,1,0,1,1,0,0,249,3,12,0
1839218,0,0,0,0,1,0,255,3,12,0
1840527,0,0,1,1,0,0,255,3,12,0
1841860,0,1,0,1,0,0,255,3,12,0
1842584,0,1,0,1,0,0,255,3,12,0
1851840,0,1,0,1,0,0,255,3,12,0
1852509,0,0,0,1,1,1,255,3,12,0
1866404,1,0,1,0,0,0,255,3,12,0
1867841,1,1,1,1,1,0,255,3,12,0
1898874,1,1,1,0,1,1,255,3,12,0
1931866,1,0,1,0,0,0,102,3,12,0
1957012,0,1,1,0,1,0,102,3,12,0
1960311,1,1,1,0,1,1,102,3,12,0
1962265,1,1,1,0,1,1,102,3,12,0
2024116,1,0,0,0,1,1,110,3,12,0
2095900,0,1,1,0,1,0,77,3,12,0
2157735,1,1,0,1,0,0,218,3,12,0
2198588,0,0,0,1,1,1,42,3,12,0
2253918,0,1,0,0,0,0,224,3,12,0
2261916,1,0,0,1,1,0,224,3,12,0
2266679,0,0,1,1,0,0,224,3,12,0
2285836,0,0,0,0,1,0,224,3,12,0
2293354,0,0,0,0,1,0,224,3,12,0
2320888,1,0,0,1,1,0,179,3,12,0
2323684,0,1,0,1,0,0,179,3,12,0
2334982,0,1,1,1,1,1,179,3,12,0
2340774,1,0,0,1,1,0,179,3,12,0
2354495,1,0,1,0,0,0,179,3,12,0
2354860,1,1,1,1,1,0,179,3,12,0
2504276,0,1,0,0,0,0,220,3,12,0
2507644,0,1,0,1,0,0,220,3,12,0
2516211,1,0,1,0,0,0,220,3,12,0
2521820,0,1,1,1,1,1,220,3,12,0
2522051,0,1,0,1,0,0,220,3,12,0
2530922,0,1,1,0,1,0,220,3,12,0
2594623,0,0,1,1,0,0,70,3,12,0
2664048,1,0,1,0,0,0,255,3,12,0
2671515,0,0,1,1,0,0,255,3,12,0
2697726,1,1,0,0,0,0,118,3,12,0
2772986,1,0,0,1,1,0,118,3,12,0
2838232,0,0,0,0,1,0,255,3,12,0
2840345,0,1,0,1,0,0,255,3,12,0
2900649,0,1,1,0,1,0,40,3,12,0
2922119,1,0,0,0,1,1,40,3,12,0
2939240,0,0,0,1,1,1,40,3,12,0
3021468,0,0,0,0,1,0,153,3,12,0
3037416,0,0,0,1,1,1,153,3,12,0
3063150,1,1,0,0,0,0,153,3,12,0
3072463,1,0,0,1,1,0,153,3,12,0
3136840,0,1,0,1,0,0,102,3,12,0
3267449,0,1,0,1,0,0,99,3,12,0
3287867,0,1,0,1,0,0,236,3,12,0
3366174,1,1,0,0,0,0,149,3,12,0
3415506,1,1,1,1,1,0,128,3,12,0
3463224,0,0,1,1,0,0,128,3,12,0
3478138,1,0,0,1,1,0,117,3,12,0
3528365,0,0,1,1,0,0,117,3,12,0
3538321,1,1,0,0,0,0,117,3,12,0
3539014,1,1,0,0,0,0,230,3,12,0
3540737,0,1,0,1,0,0,230,3,12,0
3550043,0,0,0,0,1,0,230,3,12,0
3557846,1,0,0,1,1,0,230,3,12,0
3576663,1,0,1,0,0,0,230,3,12,0
3586765,0,1,1,0,1,0,230,3,12,0
3588184,1,0,0,1,1,0,230,3,12,0
3591170,0,1,1,0,1,0,230,3,12,0
3592617,0,1,0,1,0,0,230,3,12,0
3596366,1,1,0,0,0,0,230,3,12,0
3622053,0,1,0,1,0,0,54,3,12,0
3622821,0,0,0,1,1,1,54,3,12,0
3631894,1,1,0,0,0,0,54,3,12,0
3666788,1,0,1,1,0,0,54,3,12,0
3741826,0,0,1,1,0,0,255,3,12,0
3745145,1,1,1,1,1,0,255,3,12,0
3764458,1,1,1,1,1,0,255,3,12,0
3765689,1,0,0,1,1,0,255,3,12,0
3798864,0,1,0,1,0,0,255,3,12,0
3813369,1,0,1,1,0,0,111,3,12,0
3837116,0,1,1,0,1,0,111,3,12,0
3885150,0,1,0,1,0,0,163,3,12,0
3910187,1,0,0,1,1,0,163,3,12,0
3915716,0,0,0,1,1,1,163,3,12,0
3952913,0,1,0,1,0,0,116,3,12,0
3986348,1,1,0,0,0,0,116,3,12,0
4011749,0,0,1,1,0,0,241,3,12,0
4025496,1,0,0,1,1,0,241,3,12,0
4029931,1,1,0,0,0,0,241,3,12,0
4094398,0,0,1,1,0,0,135,3,12,0
4101816,0,1,1,0,1,0,135,3,12,0
4117004,0,0,1,1,0,0,135,3,12,0
4159277,1,1,0,0,0,0,90,3,12,0
4187696,1,0,1,0,0,0,90,3,12,0
4194752,1,0,0,1,1,0,75,3,12,0
4205197,0,0,0,0,1,0,75,3,12,0
4244587,0,0,0,0,1,0,75,3,12,0
4251410,1,0,0,1,1,0,75,3,12,0
4266288,0,1,1,0,1,0,73,3,12,0
4324195,0,1,1,0,1,0,73,3,12,0
4333987,0,0,1,1,0,0,191,3,12,0
4351325,1,1,0,0,0,0,191,3,12,0
4369333,0,0,1,1,0,0,191,3,12,0
4388023,0,0,0,0,1,0,191,3,12,0
4397188,0,1,0,1,0,0,54,3,12,0
4430347,1,1,1,1,1,0,54,3,12,0
4507053,0,0,1,1,0,0,232,3,12,0
4538169,1,1,1,0,1,1,160,3,12,0
4559729,0,1,1,0,1,0,160,3,12,0
4622700,1,1,1,1,1,0,189,3,12,0
4638072,1,1,0,0,0,0,189,3,12,0
4638506,0,0,0,0,1,0,189,3,12,0
4663121,1,0,0,0,1,1,164,3,12,0
4669946,0,1,1,0,1,0,164,3,12,0
4703380,1,1,1,1,1,0,164,3,12,0
4707921,1,1,0,0,0,0,164,3,12,0
4731605,0,1,0,1,0,0,53,3,12,0
4732556,0,0,1,0,0,0,53,3,12,0
4769094,0,0,0,1,1,1,53,3,12,0
4781618,0,0,0,0,1,0,53,3,12,0
4819181,0,0,0,0,1,0,34,3,12,0
4874021,1,1,1,1,1,0,162,3,12,0
4883803,0,0,1,0,0,0,162,3,12,0
4909736,1,0,0,1,1,0,162,3,12,0
4988544,1,1,0,1,0,0,255,3,12,0
4992611,0,1,0,0,0,0,255,3,12,0
4999368,1,0,1,0,0,0,255,3,12,0
5011785,1,0,0,1,1,0,255,3,12,0
5019558,1,1,0,0,0,0,255,3,12,0
5031705,1,1,1,1,1,0,255,3,12,0
5065695,0,0,1,1,0,0,48,3,12,0
5118012,0,1,1,1,1,1,65,3,12,0
5125600,1,1,1,1,1,0,65,3,12,0
5188984,1,1,0,1,0,0,57,3,12,0
5200120,0,1,0,1,0,0,57,3,12,0
5210253,1,1,1,0,1,1,57,3,12,0
5221469,1,1,0,0,0,0,57,3,12,0
5362352,1,1,1,1,1,0,40,3,12,0
5383809,1,0,1,1,0,0,106,3,12,0
5402807,1,1,0,0,0,0,106,3,12,0
5451435,0,0,1,1,0,0,82,3,12,0
5490541,1,0,1,0,0,0,82,3,12,0
