attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
6919,1,0,0,0,1,1,170,1,9,0
87562,1,1,0,0,0,0,143,1,9,0
133516,0,0,0,0,1,0,153,1,9,0
138017,0,0,1,1,0,0,153,1,9,0
194816,1,1,0,0,0,0,153,1,9,0
296207,1,1,0,0,0,0,124,1,9,0
318008,1,1,1,1,1,0,124,1,9,0
319950,0,1,0,1,0,0,124,1,9,0
346395,1,1,1,1,1,0,146,1,9,0
400710,0,1,1,0,1,0,160,1,9,0
412281,0,1,0,1,0,0,160,1,9,0
497932,1,0,1,0,0,0,112,1,9,0
510617,1,0,0,1,1,0,112,1,9,0
538150,1,1,0,0,0,0,132,1,9,0
540605,1,0,1,0,0,0,132,1,9,0
584560,1,1,1,1,1,0,132,1,9,0
596825,1,0,1,0,0,0,165,3,9,0
600675,1,1,1,1,1,0,165,3,9,0
607123,1,1,1,1,1,0,165,3,9,0
640106,1,0,1,0,0,0,165,3,9,0
664117,0,1,1,0,1,0,94,3,9,0
689053,1,0,0,1,1,0,94,3,9,0
715018,0,0,0,0,1,0,94,3,9,0
715930,1,1,0,1,0,0,94,3,9,0
768622,0,1,0,1,0,0,144,3,9,0
853275,0,1,0,0,0,0,136,3,9,0
867405,0,1,1,0,1,0,136,3,9,0
961800,1,1,1,1,1,0,150,3,9,0
984436,1,0,0,1,1,0,122,3,9,0
1044261,1,0,1,1,0,0,122,3,9,0
1084154,1,0,0,1,1,0,127,3,9,0
1090660,0,0,1,0,0,0,127,3,9,0
1170522,1,0,1,0,0,0,109,3,9,0
1177807,0,1,0,1,0,0,109,3,9,0
1216975,1,0,1,1,0,0,103,3,9,0
1226106,0,1,1,1,1,1,103,3,9,0
1257425,1,0,1,1,0,0,99,3,9,0
1322904,1,0,1,0,0,0,131,3,9,0
1364532,0,0,0,0,1,0,131,3,9,0
1378365,0,0,0,0,1,0,136,3,9,0
1472644,1,0,0,1,1,0,143,3,9,0
1479593,1,0,1,1,0,0,143,3,9,0
1497907,0,1,0,0,0,0,143,3,9,0
1510775,0,0,0,0,1,0,88,3,9,0
1554388,1,0,0,0,1,1,88,3,9,0
1706730,1,1,0,1,0,0,92,3,9,0
1724796,1,0,0,1,1,0,92,3,9,0
1854765,0,1,1,0,1,0,135,3,9,0
1886619,1,1,0,0,0,0,135,3,9,0
1888177,0,1,1,1,1,1,135,3,9,0
1943755,1,1,1,1,1,0,145,3,9,0
2027550,0,0,1,0,0,0,116,3,9,0
