attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
18,0,1,1,0,1,0,255
406,0,1,0,1,0,0,255
492,1,1,0,0,0,0,255
1741,1,1,0,0,0,0,255
2146,1,0,0,1,1,0,255
3502,1,0,1,0,0,0,255
4149,1,1,1,1,1,0,255
4605,1,0,1,0,0,0,255
6042,1,1,1,1,1,0,255
7312,1,0,1,0,0,0,255
7843,0,1,1,0,1,0,255
7912,0,1,0,1,0,0,255
8001,1,0,1,0,0,0,255
8043,0,0,1,1,0,0,255
8463,1,1,1,1,1,0,255
8582,1,0,0,1,1,0,255
8667,0,1,0,1,0,0,255
13003,0,1,0,1,0,0,255
13105,1,0,0,1,1,0,255
15748,0,0,0,0,1,0,255
17107,0,1,0,1,0,0,255
17628,1,0,1,0,0,0,255
19829,1,1,1,1,1,0,255
19860,1,1,1,1,1,0,255
20598,1,1,0,0,0,0,255
21184,1,1,1,1,1,0,255
23472,1,0,0,1,1,0,255
24379,0,0,1,1,0,0,255
26241,0,0,0,0,1,0,255
26947,1,0,0,1,1,0,255
28733,1,1,1,1,1,0,255
29041,1,0,0,1,1,0,255
29055,1,0,0,1,1,0,255
29794,0,1,1,0,1,0,255
29903,1,1,1,1,1,0,255
30303,0,0,0,0,1,0,255
33348,0,0,0,0,1,0,255
33359,0,0,0,0,1,0,255
33941,0,1,1,0,1,0,255
34010,0,0,0,0,1,0,255
35117,1,1,1,1,1,0,255
35555,0,1,0,1,0,0,255
36602,0,0,1,0,0,0,255
36873,1,1,1,1,1,0,255
37315,0,0,0,0,1,0,255
38094,1,0,1,0,0,0,255
39438,1,0,0,1,1,0,255
39993,0,1,0,1,0,0,255
40292,0,0,1,1,0,0,255
40393,0,1,0,1,0,0,255
41331,0,1,0,1,0,0,255
42757,0,1,0,1,0,0,255
43337,1,0,1,0,0,0,255
43501,1,0,1,0,0,0,255
44410,1,0,1,0,0,0,255
44828,1,0,0,1,1,0,255
45491,0,0,0,0,1,0,255
46303,1,1,1,1,1,0,255
46430,0,0,0,0,1,0,255
46799,0,0,1,1,0,0,255
46856,1,0,0,1,1,0,255
48183,0,0,1,1,0,0,255
48986,1,0,1,0,0,0,255
49569,1,0,0,1,1,0,255
49828,0,1,1,0,1,0,255
50645,1,1,0,0,0,0,255
51680,0,0,1,1,0,0,255
52696,0,1,0,1,0,0,255
53985,1,1,0,0,0,0,255
57061,0,1,0,1,0,0,255
57403,0,1,1,0,1,0,255
57705,0,0,1,1,0,0,255
58183,0,0,1,1,0,0,255
58652,1,1,0,0,0,0,255
59021,1,1,0,0,0,0,255
59469,1,1,0,0,0,0,255
59691,1,1,1,1,1,0,255
60542,1,0,0,1,1,0,255
61029,1,0,1,0,0,0,255
61551,1,0,0,1,1,0,255
62026,0,0,0,0,1,0,255
63001,1,1,1,1,1,0,255
63609,1,0,0,1,1,0,255
66451,0,0,1,1,0,0,165
67242,1,0,1,0,0,0,165
67730,0,1,0,1,0,0,165
69077,1,0,1,0,0,0,165
69561,1,0,0,1,1,0,165
71400,0,0,0,0,1,0,165
71405,0,0,1,1,0,0,165
74817,0,1,0,1,0,0,165
75457,0,0,1,1,0,0,165
76761,0,0,1,1,0,0,165
77735,0,1,0,1,0,0,165
80152,1,1,1,1,1,0,165
80168,1,0,1,0,0,0,165
81287,0,0,1,1,0,0,165
84162,0,0,0,0,1,0,165
85859,0,1,0,1,0,0,165
86147,1,0,0,1,1,0,165
90362,1,1,1,1,1,0,165
91110,0,0,1,1,0,0,165
91220,1,1,0,0,0,0,165
92726,0,0,1,1,0,0,165
94054,0,1,1,0,1,0,165
95804,1,1,0,0,0,0,165
97702,1,0,1,0,0,0,165
97884,0,1,1,0,1,0,165
97896,1,0,1,0,0,0,165
98260,1,0,1,0,0,0,165
98654,1,0,1,0,0,0,165
99367,1,1,0,0,0,0,165
99792,0,1,0,1,0,0,165
100019,1,0,1,0,0,0,165
102037,1,0,0,1,1,0,165
104646,0,1,1,0,1,0,165
104713,0,0,1,1,0,0,165
107407,1,1,1,1,1,0,165
109316,0,1,0,1,0,0,165
110038,1,1,0,0,0,0,165
111707,0,1,0,1,0,0,165
112658,1,0,0,1,1,0,165
116353,0,1,1,0,1,0,165
117020,1,1,1,1,1,0,165
117435,0,1,1,0,1,0,165
118625,1,0,0,1,1,0,165
118957,1,0,1,0,0,0,165
122004,1,0,1,0,0,0,165
123601,1,0,1,0,0,0,165
125114,1,1,1,0,1,1,165
125536,0,0,0,0,1,0,165
126160,1,1,0,0,0,0,165
126180,1,1,1,1,1,0,165
127406,0,0,0,0,1,0,165
127948,1,0,0,1,1,0,165
128026,0,0,1,1,0,0,165
128662,0,1,0,0,0,0,165
131236,0,1,0,1,0,0,143
131251,1,0,1,1,0,0,143
132876,1,1,0,0,0,0,143
134367,0,1,0,1,0,0,143
135524,0,1,1,0,1,0,143
137199,1,0,1,0,0,0,143
138142,0,0,0,0,1,0,143
138899,1,0,0,1,1,0,143
140669,1,0,0,1,1,0,143
141536,1,0,1,0,0,0,143
142133,0,0,0,0,1,0,143
142728,1,0,1,0,0,0,143
142791,1,1,0,0,0,0,143
144294,0,0,1,1,0,0,143
146555,0,1,0,1,0,0,143
147347,0,0,1,1,0,0,143
148976,0,1,1,0,1,0,143
154703,0,0,1,1,0,0,143
154851,1,0,1,0,0,0,143
156218,0,1,0,1,0,0,143
157430,1,1,0,0,0,0,143
158546,0,1,0,1,0,0,143
159128,1,0,0,1,1,0,143
160657,0,0,0,0,1,0,143
160829,1,0,1,0,0,0,143
162530,0,0,1,1,0,0,143
165878,1,0,1,1,0,0,143
166364,1,1,0,0,0,0,143
166794,0,0,1,1,0,0,143
166940,1,0,1,0,0,0,143
167467,1,0,1,0,0,0,143
167615,1,0,0,1,1,0,143
167687,0,1,1,0,1,0,143
168783,1,1,1,1,1,0,143
168915,0,1,0,1,0,0,143
169084,1,0,0,1,1,0,143
170681,1,1,1,1,1,0,143
170936,0,0,1,1,0,0,143
171343,1,1,1,1,1,0,143
171447,1,0,1,0,0,0,143
172836,1,1,1,1,1,0,143
173567,1,1,1,1,1,0,143
174465,0,0,1,1,0,0,143
174956,0,0,1,0,0,0,143
175215,1,0,0,1,1,0,143
177185,1,1,1,1,1,0,143
178956,1,0,0,1,1,0,143
179977,0,1,1,0,1,0,143
180005,0,0,1,1,0,0,143
182733,0,1,0,1,0,0,143
183172,1,0,0,1,1,0,143
183943,0,1,1,0,1,0,143
185067,1,0,1,1,0,0,143
187082,1,1,1,1,1,0,143
188546,0,0,1,1,0,0,143
189485,1,0,1,0,0,0,143
191176,0,0,1,1,0,0,143
191977,0,0,0,0,1,0,143
195261,0,0,1,1,0,0,143
197004,1,0,0,1,1,0,255
198219,1,1,0,0,0,0,255
198880,1,1,1,1,1,0,255
199398,1,0,0,1,1,0,255
200045,1,1,0,0,0,0,255
200512,0,0,1,1,0,0,255
200640,0,0,0,0,1,0,255
200685,0,0,0,0,1,0,255
201221,0,1,0,1,0,0,255
201683,0,1,0,1,0,0,255
202052,0,0,0,0,1,0,255
202853,0,0,1,1,0,0,255
202902,0,1,1,0,1,0,255
203116,1,0,0,1,1,0,255
203143,0,1,1,0,1,0,255
203274,1,0,1,0,0,0,255
203414,0,1,1,0,1,0,255
207070,0,0,0,0,1,0,255
209400,0,1,0,1,0,0,255
210658,0,0,0,0,1,0,255
211132,0,0,0,0,1,0,255
211811,0,1,1,0,1,0,255
214656,0,1,1,0,1,0,255
215373,0,1,0,1,0,0,255
215398,0,1,0,1,0,0,255
216132,1,0,0,1,1,0,255
216549,1,0,1,0,0,0,255
216874,0,1,1,0,1,0,255
216933,0,1,1,0,1,0,255
218046,0,1,1,1,1,1,255
218165,1,1,0,0,0,0,255
218223,1,0,0,1,1,0,255
219025,1,1,0,0,0,0,255
219457,1,0,0,1,1,0,255
219932,0,1,0,1,0,0,255
220225,1,0,0,1,1,0,255
220303,1,0,1,0,0,0,255
221905,0,1,1,0,1,0,255
222359,0,0,1,1,0,0,255
223217,1,0,1,0,0,0,255
223491,0,1,1,0,1,0,255
223575,1,0,1,0,0,0,255
223649,0,0,0,1,1,1,255
223895,0,1,0,1,0,0,255
224616,1,1,1,1,1,0,255
224991,0,0,0,0,1,0,255
225162,1,0,0,1,1,0,255
225704,1,1,0,0,0,0,255
226056,0,1,1,0,1,0,255
226631,1,0,0,1,1,0,255
226741,1,1,1,1,1,0,255
227676,1,1,0,0,0,0,255
227844,0,1,0,1,0,0,255
228514,0,1,0,1,0,0,255
230311,1,1,0,0,0,0,255
231126,1,0,0,1,1,0,255
231246,0,0,1,1,0,0,255
231688,1,1,1,1,1,0,255
232796,0,0,1,1,0,0,255
232854,1,0,1,0,0,0,255
233369,1,0,0,1,1,0,255
233593,1,0,0,1,1,0,255
233886,1,0,0,1,1,0,255
234499,1,0,0,1,1,0,255
238201,1,1,1,1,1,0,255
238396,0,1,1,0,1,0,255
239293,1,0,1,0,0,0,255
240035,1,1,1,1,1,0,255
240700,0,1,1,0,1,0,255
242003,1,1,1,1,1,0,255
242740,1,0,0,1,1,0,255
243053,1,0,1,0,0,0,255
244491,0,0,1,1,0,0,255
245085,0,0,1,1,0,0,255
247790,1,0,1,0,0,0,255
248073,0,0,1,1,0,0,255
248583,1,1,0,0,0,0,255
248858,0,0,0,0,1,0,255
249074,0,1,0,1,0,0,255
250283,1,1,0,0,0,0,255
250871,1,0,0,1,1,0,255
251672,0,0,0,0,1,0,255
252223,1,1,1,1,1,0,255
252902,0,1,0,1,0,0,255
253703,0,0,0,0,1,0,255
253904,1,1,0,0,0,0,255
253973,1,1,0,0,0,0,255
254816,0,1,1,0,1,0,255
256102,1,1,1,1,1,0,255
256427,1,0,1,0,0,0,255
257083,1,0,1,0,0,0,255
257205,1,1,1,1,1,0,255
258055,0,0,0,0,1,0,255
258264,1,1,1,1,1,0,255
258758,0,0,0,0,1,0,255
259262,1,0,0,1,1,0,255
