attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
3238,1,1,0,1,0,0,255,1,8,0
7937,1,1,0,0,0,0,255,1,8,0
11099,0,1,1,0,1,0,255,1,8,0
14572,0,1,0,1,0,0,255,1,8,0
17454,1,1,0,0,0,0,255,1,8,0
25955,0,0,0,0,1,0,255,1,8,0
26199,0,1,0,1,0,0,255,1,8,0
42006,1,1,0,1,0,0,255,1,8,0
51143,1,1,0,0,0,0,255,1,8,0
62454,0,1,0,1,0,0,255,1,8,0
87941,1,0,0,1,1,0,87,1,8,0
88998,1,0,0,1,1,0,87,1,8,0
105700,1,1,0,0,0,0,87,1,8,0
106300,0,0,0,0,1,0,87,1,8,0
122050,0,0,0,0,1,0,87,1,8,0
125944,1,0,0,1,1,0,87,1,8,0
132601,0,1,1,1,1,1,70,1,8,0
150087,0,0,0,0,1,0,70,1,8,0
177808,0,0,1,1,0,0,70,1,8,0
211266,0,0,1,1,0,0,78,1,8,0
214521,1,1,1,1,1,0,78,1,8,0
231903,1,1,0,0,0,0,78,1,8,0
240280,0,0,0,0,1,0,78,1,8,0
266417,0,0,1,1,0,0,230,1,8,0
270916,0,0,1,1,0,0,230,1,8,0
308156,1,0,0,1,1,0,230,1,8,0
309792,0,0,0,0,1,0,230,1,8,0
310072,1,1,0,1,0,0,230,1,8,0
311708,0,0,1,1,0,0,230,1,8,0
314557,0,1,1,0,1,0,230,1,8,0
325580,0,0,0,0,1,0,230,1,8,0
356012,0,0,1,1,0,0,124,1,8,0
365459,1,0,0,1,1,0,124,1,8,0
365573,1,0,0,1,1,0,124,1,8,0
372590,0,0,1,0,0,0,124,1,8,0
378458,1,1,1,1,1,0,124,1,8,0
393110,0,0,0,0,1,0,124,1,8,0
396538,1,1,0,1,0,0,255,1,8,0
402925,1,1,1,1,1,0,255,1,8,0
404935,1,1,0,1,0,0,255,1,8,0
416286,1,1,0,0,0,0,255,1,8,0
418321,0,0,0,0,1,0,255,1,8,0
436477,1,0,0,0,1,1,255,1,8,0
442876,1,0,0,1,1,0,255,1,8,0
443583,0,0,0,0,1,0,255,1,8,0
448488,0,0,0,0,1,0,255,1,8,0
458343,1,1,1,1,1,0,255,1,8,0
490246,0,1,0,0,0,0,10,1,8,0
606184,1,0,0,0,1,1,54,1,8,0
612895,1,1,0,0,0,0,54,1,8,0
659903,1,0,1,0,0,0,255,1,8,0
666624,1,1,0,0,0,0,255,1,8,0
677198,0,0,0,0,1,0,255,1,8,0
677419,1,0,1,1,0,0,255,1,8,0
679700,0,0,1,1,0,0,255,1,8,0
684306,1,0,1,1,0,0,255,1,8,0
688585,1,0,0,0,1,1,255,1,8,0
694518,1,1,0,0,0,0,255,1,8,0
694882,0,1,1,0,1,0,255,1,8,0
702788,0,0,0,0,1,0,255,1,8,0
711325,1,0,1,0,0,0,255,1,8,0
