attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
141,0,1,1,0,1,0,114
814,0,1,1,0,1,0,114
3123,0,0,0,0,1,0,114
3271,0,0,1,1,0,0,114
4034,0,1,1,0,1,0,114
4150,1,0,0,1,1,0,114
4581,0,1,0,1,0,0,114
4712,0,1,1,0,1,0,114
4909,0,1,0,1,0,0,114
6167,0,0,0,0,1,0,114
6777,0,0,1,0,0,0,114
6888,0,1,1,0,1,0,114
7073,1,0,1,0,0,0,114
9700,1,0,1,0,0,0,114
9876,1,0,0,1,1,0,114
10654,1,1,0,0,0,0,114
11776,1,1,0,0,0,0,114
13382,0,0,1,1,0,0,114
14780,0,0,1,1,0,0,114
18582,1,1,0,0,0,0,114
19021,1,1,1,1,1,0,114
19178,1,0,1,0,0,0,114
20412,1,1,0,0,0,0,114
20691,0,0,1,1,0,0,114
21044,0,1,0,1,0,0,114
27727,1,0,0,1,1,0,114
27775,1,1,0,0,0,0,114
28334,0,1,0,1,0,0,114
29339,0,0,0,0,1,0,114
30199,0,0,1,1,0,0,114
31741,0,0,0,0,1,0,114
33288,1,1,0,0,0,0,114
33551,0,1,1,1,1,1,114
34906,0,1,1,0,1,0,114
35390,1,1,1,1,1,0,114
36494,1,1,1,1,1,0,114
36806,0,1,0,1,0,0,114
37163,1,0,1,0,0,0,114
39779,0,0,1,1,0,0,114
41703,1,0,1,0,0,0,114
41850,0,0,0,0,1,0,114
41963,1,0,1,0,0,0,114
45253,1,1,0,0,0,0,114
45347,1,0,0,0,1,1,114
46335,0,0,1,1,0,0,114
46638,0,1,0,1,0,0,114
48643,1,0,1,0,0,0,114
49024,0,1,0,1,0,0,114
49486,1,0,1,0,0,0,114
49758,1,1,0,0,0,0,114
50358,0,1,0,1,0,0,114
50671,1,1,1,1,1,0,114
54359,1,1,0,0,0,0,114
55572,0,0,0,0,1,0,114
55934,1,1,0,0,0,0,114
57137,1,1,0,0,0,0,114
57343,1,0,0,1,1,0,114
58035,0,1,1,0,1,0,114
59294,1,1,1,1,1,0,114
59712,0,1,1,0,1,0,114
60756,1,1,0,0,0,0,114
60856,1,1,0,0,0,0,114
61331,0,0,1,1,0,0,114
62559,0,1,1,0,1,0,114
63005,0,0,1,1,0,0,114
63623,1,1,0,0,0,0,114
64146,1,0,0,1,1,0,114
64784,0,1,0,0,0,0,114
65064,0,1,1,0,1,0,114
65154,1,1,0,0,0,0,114
65594,1,0,0,1,1,0,89
66474,0,1,1,0,1,0,89
66738,1,0,1,0,0,0,89
69531,0,0,1,0,0,0,89
72424,0,1,1,0,1,0,89
76353,1,0,1,0,0,0,89
77213,1,0,1,0,0,0,89
77298,1,1,1,1,1,0,89
77823,1,1,0,0,0,0,89
79323,0,1,1,1,1,1,89
84307,1,1,0,0,0,0,89
85338,0,0,0,0,1,0,89
87141,1,0,1,0,0,0,89
87919,1,1,1,1,1,0,89
88433,1,1,1,1,1,0,89
89785,1,0,0,1,1,0,89
90481,1,1,1,1,1,0,89
90825,0,1,1,0,1,0,89
90979,1,1,1,1,1,0,89
91842,1,0,1,0,0,0,89
93485,0,1,0,0,0,0,89
94111,1,0,1,0,0,0,89
95080,1,0,0,1,1,0,89
97054,0,1,0,1,0,0,89
97794,0,1,1,0,1,0,89
98026,1,0,0,1,1,0,89
98258,0,1,1,0,1,0,89
98631,1,1,1,1,1,0,89
105431,0,1,1,1,1,1,89
105544,0,0,0,0,1,0,89
109654,1,1,0,0,0,0,89
109699,0,0,0,0,1,0,89
110245,0,1,0,1,0,0,89
110334,1,0,0,1,1,0,89
112116,1,1,1,1,1,0,89
112344,0,1,0,1,0,0,89
117393,0,0,0,0,1,0,89
118090,0,1,1,0,1,0,89
118658,0,0,1,1,0,0,89
118765,0,0,0,0,1,0,89
119238,1,0,0,1,1,0,89
120404,1,1,1,1,1,0,89
121156,1,0,0,1,1,0,89
121551,1,0,0,1,1,0,89
122102,0,0,1,1,0,0,89
123705,1,0,0,1,1,0,89
128863,0,1,1,0,1,0,89
130150,0,1,0,1,0,0,89
130392,0,0,1,1,0,0,89
130878,1,1,0,0,0,0,89
131885,0,0,1,1,0,0,184
132001,0,1,0,1,0,0,184
132202,1,1,0,0,0,0,184
132536,1,1,1,1,1,0,184
133786,0,1,0,1,0,0,184
133796,0,0,1,1,0,0,184
133950,0,0,1,1,0,0,184
134114,1,1,0,0,0,0,184
134557,0,0,1,1,0,0,184
137286,0,0,1,1,0,0,184
137438,0,1,1,0,1,0,184
137517,1,0,0,1,1,0,184
138179,1,1,1,1,1,0,184
139238,1,1,1,1,1,0,184
139304,1,1,1,1,1,0,184
140185,0,1,0,1,0,0,184
140207,1,1,0,0,0,0,184
140836,1,0,1,0,0,0,184
140984,0,1,0,1,0,0,184
141156,0,0,1,1,0,0,184
142636,0,1,1,0,1,0,184
144171,1,1,1,1,1,0,184
144834,0,1,1,0,1,0,184
145442,0,1,0,1,0,0,184
146135,1,1,0,0,0,0,184
146915,1,0,1,0,0,0,184
147018,0,1,1,0,1,0,184
147315,1,1,1,1,1,0,184
149714,1,0,0,1,1,0,184
150449,1,1,0,0,0,0,184
151015,1,0,0,1,1,0,184
151073,0,1,1,0,1,0,184
151192,1,0,1,0,0,0,184
151827,0,0,1,1,0,0,184
155255,0,0,0,0,1,0,184
155275,0,1,1,0,1,0,184
156540,0,1,0,1,0,0,184
157628,0,0,1,1,0,0,184
159206,0,0,0,0,1,0,184
159411,0,1,0,1,0,0,184
159685,0,1,1,0,1,0,184
160069,0,1,1,0,1,0,184
161679,1,0,1,0,0,0,184
161699,1,0,1,0,0,0,184
161716,0,0,0,0,1,0,184
162945,1,0,1,0,0,0,184
163416,1,0,1,0,0,0,184
164244,0,0,1,1,0,0,184
165048,1,1,1,1,1,0,184
165113,1,0,0,1,1,0,184
165225,0,0,1,1,0,0,184
166062,1,1,1,1,1,0,184
166478,0,1,1,0,1,0,184
166904,0,1,1,0,1,0,184
168080,0,0,1,1,0,0,184
169808,0,1,0,1,0,0,184
171292,1,1,1,1,1,0,184
171688,0,0,0,0,1,0,184
172158,0,0,1,1,0,0,184
172850,0,0,1,0,0,0,184
173768,1,1,0,0,0,0,184
174324,0,0,1,1,0,0,184
175533,1,1,0,0,0,0,184
176310,0,1,0,1,0,0,184
176556,0,1,1,0,1,0,184
177568,0,0,0,0,1,0,184
177834,0,0,0,0,1,0,184
177863,1,1,1,1,1,0,184
179030,1,1,1,1,1,0,184
179827,0,0,1,1,0,0,184
180182,1,0,0,1,1,0,184
180534,0,1,0,1,0,0,184
180613,0,0,0,0,1,0,184
181258,0,1,0,1,0,0,184
181654,0,0,1,1,0,0,184
182506,0,1,0,1,0,0,184
182849,0,1,0,1,0,0,184
183101,0,1,1,0,1,0,184
183278,0,1,1,0,1,0,184
183300,0,1,1,0,1,0,184
183339,0,0,0,0,1,0,184
183550,1,1,1,1,1,0,184
183616,1,1,1,1,1,0,184
184549,1,0,1,0,0,0,184
184621,1,0,1,0,0,0,184
185510,1,0,1,0,0,0,184
185615,1,0,0,1,1,0,184
185820,0,1,0,1,0,0,184
186389,1,0,1,0,0,0,184
186440,0,1,1,0,1,0,184
187053,1,0,1,0,0,0,184
187481,1,1,1,1,1,0,184
187794,0,1,1,0,1,0,184
188533,1,0,0,1,1,0,184
189477,0,0,0,0,1,0,184
190246,1,1,1,1,1,0,184
190362,1,0,0,1,1,0,184
191248,0,1,0,1,0,0,184
191476,0,0,1,1,0,0,184
191604,1,1,1,1,1,0,184
191666,0,1,1,0,1,0,184
192062,1,1,1,1,1,0,184
193025,0,1,0,1,0,0,184
193082,1,1,1,1,1,0,184
194000,0,0,0,0,1,0,184
194741,1,1,1,1,1,0,184
194933,0,0,1,1,0,0,184
195648,0,1,1,0,1,0,184
195763,1,1,1,0,1,1,184
196742,1,1,1,1,1,0,101
198008,1,0,1,0,0,0,101
198938,0,1,1,0,1,0,101
199392,1,1,1,1,1,0,101
201576,0,0,1,1,0,0,101
201837,1,1,0,0,0,0,101
202226,1,0,1,0,0,0,101
205087,0,1,0,1,0,0,101
206979,1,0,1,0,0,0,101
208311,0,1,1,0,1,0,101
208474,0,1,0,1,0,0,101
208612,0,0,0,0,1,0,101
209609,1,0,0,1,1,0,101
209687,0,0,0,0,1,0,101
211437,1,0,1,0,0,0,101
211725,1,0,0,1,1,0,101
213923,1,0,1,0,0,0,101
213926,0,1,0,1,0,0,101
214721,1,1,1,1,1,0,101
216796,1,0,0,1,1,0,101
218836,0,0,1,1,0,0,101
219082,0,1,1,0,1,0,101
219458,0,0,1,1,0,0,101
219735,1,0,1,0,0,0,101
220297,0,1,1,0,1,0,101
220439,1,0,0,1,1,0,101
220764,0,0,1,1,0,0,101
222568,1,0,1,0,0,0,101
223149,1,1,0,0,0,0,101
226206,1,0,1,0,0,0,101
227628,1,1,1,1,1,0,101
227945,1,0,0,1,1,0,101
228110,1,0,0,1,1,0,101
228427,0,0,1,1,0,0,101
229962,0,0,1,1,0,0,101
230134,0,0,0,0,1,0,101
230896,0,0,1,1,0,0,101
231773,0,0,0,0,1,0,101
231916,0,1,1,0,1,0,101
232461,1,0,1,0,0,0,101
232508,1,1,0,0,0,0,101
232517,1,0,0,1,1,0,101
233598,0,0,1,1,0,0,101
233815,0,0,0,0,1,0,101
233827,1,0,0,1,1,0,101
234057,0,0,1,1,0,0,101
234336,1,1,1,1,1,0,101
234828,0,0,0,0,1,0,101
235312,1,0,1,0,0,0,101
236447,1,0,1,0,0,0,101
237010,1,1,0,0,0,0,101
237694,1,0,1,0,0,0,101
238136,0,0,1,1,0,0,101
239592,0,0,1,1,0,0,101
241858,0,0,0,0,1,0,101
242113,0,0,0,0,1,0,101
243593,1,1,1,1,1,0,101
244134,0,1,1,0,1,0,101
244530,1,1,1,1,1,0,101
245428,1,1,1,1,1,0,101
247987,1,1,0,0,0,0,101
249438,1,1,1,1,1,0,101
249911,0,0,1,1,0,0,101
251427,1,1,0,0,0,0,101
252875,0,1,1,0,1,0,101
253502,0,0,1,1,0,0,101
253608,0,1,1,0,1,0,101
254366,0,0,0,0,1,0,101
254657,0,0,1,1,0,0,101
257779,1,0,1,0,0,0,101
258083,0,1,1,0,1,0,101
259869,1,0,1,0,0,0,101
261582,1,0,0,1,1,0,101
261590,1,1,1,0,1,1,101
262557,0,1,1,0,1,0,126
263334,0,1,1,0,1,0,126
264437,1,1,1,1,1,0,126
265240,1,1,1,1,1,0,126
265694,1,1,0,0,0,0,126
266080,1,0,1,0,0,0,126
266487,1,0,1,1,0,0,126
266517,1,0,0,1,1,0,126
268403,1,1,1,1,1,0,126
268865,1,1,0,0,0,0,126
269941,1,0,1,0,0,0,126
270190,0,1,1,0,1,0,126
270313,0,0,1,1,0,0,126
271351,1,0,1,0,0,0,126
271537,0,1,0,1,0,0,126
271627,1,1,0,0,0,0,126
271637,0,0,0,0,1,0,126
277337,1,0,1,0,0,0,126
277358,1,1,1,1,1,0,126
278174,0,0,1,1,0,0,126
278789,0,1,1,0,1,0,126
278835,0,1,0,1,0,0,126
279666,1,0,1,0,0,0,126
280549,0,0,0,0,1,0,126
283102,1,0,0,1,1,0,126
283764,1,1,0,0,0,0,126
285978,1,1,1,0,1,1,126
286256,0,0,0,0,1,0,126
286490,1,0,0,1,1,0,126
287079,0,1,0,1,0,0,126
287563,0,1,1,0,1,0,126
289562,0,1,1,0,1,0,126
290112,1,0,0,1,1,0,126
291803,1,0,1,0,0,0,126
