attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
38,0,0,0,0,1,0,108
241,0,0,0,0,1,0,108
330,0,0,0,0,1,0,108
448,0,0,1,1,0,0,108
516,0,0,0,0,1,0,108
553,1,0,1,0,0,0,108
710,0,0,1,1,0,0,108
807,1,1,0,0,0,0,108
911,1,1,1,1,1,0,108
1111,0,0,0,0,1,0,108
1174,1,0,0,1,1,0,108
1341,1,0,1,0,0,0,108
1439,0,1,0,1,0,0,108
1495,1,1,1,1,1,0,108
1559,0,1,0,1,0,0,108
1574,1,1,0,0,0,0,108
1582,1,0,1,0,0,0,108
1691,0,1,0,1,0,0,108
1729,1,0,1,0,0,0,108
1876,1,0,0,1,1,0,108
1890,1,0,0,1,1,0,108
1960,0,1,0,1,0,0,108
2293,0,0,1,1,0,0,108
2527,1,1,0,0,0,0,108
2541,0,0,1,1,0,0,108
2606,0,0,0,1,1,1,108
2638,1,0,1,0,0,0,108
2850,0,1,1,0,1,0,108
2894,0,1,0,1,0,0,108
2971,0,1,1,0,1,0,108
2983,1,0,1,0,0,0,108
3186,1,0,0,1,1,0,108
3194,0,0,0,0,1,0,108
3200,1,0,1,0,0,0,108
3310,1,1,1,1,1,0,108
3346,1,1,0,0,0,0,108
3511,1,1,0,0,0,0,108
3541,1,0,0,1,1,0,108
3601,1,1,1,1,1,0,108
3685,0,0,0,0,1,0,108
3708,1,1,0,0,0,0,108
3855,0,1,1,0,1,0,108
3884,1,0,1,0,0,0,108
4080,1,1,1,1,1,0,108
4093,0,1,0,1,0,0,108
4177,1,0,1,0,0,0,108
4260,0,0,1,1,0,0,108
4341,1,1,1,1,1,0,108
4362,0,1,1,0,1,0,108
4417,1,0,0,1,1,0,108
4503,1,0,0,1,1,0,108
4544,0,0,1,1,0,0,108
4571,1,0,0,1,1,0,108
4870,0,0,1,1,0,0,108
4935,0,1,0,1,0,0,108
4990,0,1,0,1,0,0,108
5109,0,0,1,1,0,0,108
5133,1,1,1,1,1,0,108
5178,0,1,0,1,0,0,108
5179,1,0,0,1,1,0,108
5422,1,1,1,1,1,0,108
5525,0,0,1,1,0,0,108
5686,0,1,0,1,0,0,108
5699,0,1,0,1,0,0,108
5858,0,1,0,1,0,0,108
5879,1,0,0,1,1,0,108
5953,0,0,1,1,0,0,108
5956,1,0,0,1,1,0,108
6133,1,0,0,1,1,0,108
6310,1,1,1,1,1,0,108
6385,1,0,1,0,0,0,108
6442,0,0,1,1,0,0,108
6532,1,1,0,0,0,0,108
6550,0,1,1,0,1,0,108
6585,1,0,0,1,1,0,108
6688,1,1,1,1,1,0,108
6925,0,0,0,0,1,0,108
7070,0,1,1,0,1,0,108
7180,0,1,1,0,1,0,108
7232,0,1,0,1,0,0,108
7323,1,0,1,0,0,0,108
7499,1,0,0,1,1,0,108
7661,0,0,1,1,0,0,108
7677,1,1,0,0,0,0,108
7722,1,1,1,1,1,0,108
