attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
33,1,1,0,0,0,0,122
422,1,1,1,1,1,0,122
601,0,1,0,1,0,0,122
656,0,0,1,1,0,0,122
986,1,1,0,0,0,0,122
1037,1,1,0,0,0,0,122
1458,0,1,1,0,1,0,122
1560,1,1,1,1,1,0,122
1597,1,0,1,0,0,0,122
1624,1,0,1,0,0,0,122
1714,0,0,1,1,0,0,122
2005,0,0,1,1,0,0,122
2016,1,1,0,0,0,0,122
2257,1,0,0,1,1,0,122
2336,0,0,0,0,1,0,122
2337,1,0,0,1,1,0,122
2756,0,0,0,1,1,1,122
2761,0,1,1,0,1,0,122
3018,1,1,1,1,1,0,122
3115,0,1,1,0,1,0,122
3218,0,0,1,1,0,0,122
3749,1,0,0,1,1,0,122
4179,0,1,1,0,1,0,122
4451,0,1,0,1,0,0,122
4583,1,0,0,1,1,0,122
4625,1,0,1,0,0,0,122
4699,0,1,1,0,1,0,122
4750,0,0,0,0,1,0,122
4806,0,0,1,1,0,0,122
4981,1,1,0,1,0,0,122
5104,0,1,0,1,0,0,122
5331,1,0,1,0,0,0,122
5759,1,0,1,0,0,0,122
5766,0,0,0,1,1,1,122
6039,1,1,1,1,1,0,122
6068,1,1,0,0,0,0,122
6079,1,0,0,1,1,0,122
6298,1,1,1,1,1,0,122
6303,1,1,1,1,1,0,122
6400,0,0,0,0,1,0,122
6578,1,0,0,1,1,0,122
6591,1,0,1,0,0,0,122
6697,0,0,1,1,0,0,122
6721,1,1,0,0,0,0,122
6864,0,1,1,0,1,0,122
6929,1,1,0,0,0,0,122
7204,0,0,0,0,1,0,122
7219,1,1,0,1,0,0,122
7581,1,0,1,0,0,0,122
7641,1,0,1,0,0,0,122
7683,0,0,1,1,0,0,122
7726,1,1,0,0,0,0,122
7917,0,1,1,0,1,0,122
8158,1,1,1,1,1,0,122
8190,1,1,1,1,1,0,122
8195,0,1,0,1,0,0,122
8213,0,0,0,1,1,1,122
8411,1,0,1,1,0,0,122
8502,0,0,0,0,1,0,122
8506,1,0,1,1,0,0,122
8766,1,1,1,1,1,0,122
9282,1,0,0,1,1,0,122
9310,1,0,0,1,1,0,122
9569,1,1,1,1,1,0,122
9648,1,0,0,1,1,0,122
9808,0,1,0,1,0,0,122
9829,1,0,1,0,0,0,122
9856,0,1,0,1,0,0,122
10042,1,0,1,0,0,0,122
10099,1,1,0,0,0,0,122
10214,0,0,1,1,0,0,122
10280,0,1,0,1,0,0,122
10726,0,0,1,1,0,0,122
11153,0,0,0,0,1,0,122
11268,0,1,1,0,1,0,122
11306,1,1,1,1,1,0,122
11529,0,1,0,1,0,0,122
11549,1,1,1,1,1,0,122
11580,0,0,1,1,0,0,122
12143,1,0,0,1,1,0,122
12628,1,0,1,0,0,0,122
12712,0,1,1,0,1,0,122
12714,0,1,0,1,0,0,122
13020,0,1,0,1,0,0,122
13090,0,1,1,0,1,0,122
13348,0,1,1,0,1,0,122
13364,1,0,0,1,1,0,122
13373,1,0,0,1,1,0,122
13421,1,0,1,0,0,0,122
13485,0,1,1,0,1,0,122
13513,1,0,1,0,0,0,122
13545,0,1,1,0,1,0,122
13556,1,1,1,1,1,0,122
13566,1,0,1,0,0,0,122
13725,0,0,1,1,0,0,122
13740,0,0,0,0,1,0,122
14025,1,1,1,1,1,0,122
14059,1,1,1,1,1,0,122
14255,1,0,1,0,0,0,122
14634,1,0,1,0,0,0,122
14686,1,0,0,1,1,0,122
14740,0,1,0,1,0,0,122
14830,0,0,0,0,1,0,122
14978,0,0,0,0,1,0,122
15053,0,0,1,1,0,0,122
15481,0,0,0,0,1,0,122
15494,1,0,1,0,0,0,122
15613,1,0,0,1,1,0,122
15649,1,0,1,0,0,0,122
15819,0,1,0,1,0,0,122
16060,0,1,1,0,1,0,122
16362,1,0,1,0,0,0,122
16505,0,1,0,1,0,0,122
16632,1,0,1,0,0,0,122
16652,0,1,0,1,0,0,122
16707,0,1,0,1,0,0,122
16761,0,1,1,0,1,0,122
16789,0,0,0,0,1,0,122
16884,0,0,1,1,0,0,122
16911,0,0,1,1,0,0,122
16949,1,1,1,1,1,0,122
17467,0,1,1,0,1,0,122
17881,1,1,1,1,1,0,122
17887,0,1,1,0,1,0,122
18055,0,1,1,0,1,0,122
18375,0,1,0,1,0,0,122
18520,0,1,0,1,0,0,122
18615,0,1,0,1,0,0,122
18718,0,1,0,1,0,0,122
18859,0,0,0,0,1,0,122
18886,0,0,1,1,0,0,122
19194,1,0,0,1,1,0,122
19443,1,1,0,0,0,0,122
19477,1,0,1,0,0,0,122
19671,0,0,1,1,0,0,122
19760,1,0,1,0,0,0,122
19770,1,1,1,1,1,0,122
19874,1,0,1,0,0,0,122
19885,0,0,1,1,0,0,122
19977,0,0,1,1,0,0,122
19978,1,1,0,0,0,0,122
20130,1,1,0,0,0,0,122
20234,0,1,0,1,0,0,122
20583,1,0,0,1,1,0,122
20599,1,1,1,1,1,0,122
20699,1,0,1,0,0,0,122
21376,0,0,0,1,1,1,122
21377,0,1,1,0,1,0,122
21394,1,1,1,1,1,0,122
