attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
474,1,1,0,0,0,0,129
3455,0,1,0,1,0,0,129
4195,0,1,0,1,0,0,129
4669,0,0,1,1,0,0,129
9957,1,0,1,1,0,0,129
11258,0,0,1,1,0,0,129
19332,0,0,0,0,1,0,129
25522,0,1,0,1,0,0,129
32742,0,0,1,1,0,0,129
39219,1,0,1,0,0,0,129
39753,1,0,1,0,0,0,129
52626,1,0,1,0,0,0,129
55529,1,0,0,1,1,0,129
59896,1,1,0,0,0,0,129
65583,1,0,0,1,1,0,129
66955,1,1,1,1,1,0,129
79926,0,0,0,1,1,1,129
80695,1,0,0,1,1,0,129
82046,1,0,0,1,1,0,129
83637,0,1,1,0,1,0,129
87777,1,1,1,1,1,0,129
109215,1,1,1,1,1,0,129
109724,0,0,0,0,1,0,129
121481,0,0,1,1,0,0,129
133297,0,0,1,1,0,0,203
136421,1,1,1,1,1,0,203
145976,0,1,1,0,1,0,203
163726,0,1,0,1,0,0,203
165782,0,0,0,0,1,0,203
167724,0,1,1,0,1,0,203
168537,1,1,0,0,0,0,203
168784,1,1,0,1,0,0,203
168904,1,0,1,0,0,0,203
169205,1,1,1,0,1,1,203
171929,0,1,1,0,1,0,203
173200,0,0,1,1,0,0,203
175389,0,0,1,1,0,0,203
176224,0,0,1,1,0,0,203
181327,0,0,1,1,0,0,203
182405,1,1,0,0,0,0,203
186750,0,1,0,1,0,0,203
188410,1,1,1,1,1,0,203
193359,1,0,1,0,0,0,203
193475,0,0,1,1,0,0,203
214718,1,1,1,1,1,0,110
225815,1,1,1,1,1,0,110
229654,0,1,0,1,0,0,110
234564,0,1,1,0,1,0,110
247979,0,1,1,0,1,0,110
257973,1,1,0,0,0,0,110
277198,0,0,0,1,1,1,106
281815,1,1,1,0,1,1,106
286987,1,1,1,0,1,1,106
296399,1,1,1,1,1,0,106
296605,0,1,1,0,1,0,106
299007,1,0,0,1,1,0,106
301745,1,0,1,0,0,0,106
318166,0,0,1,1,0,0,106
320587,0,1,1,0,1,0,106
321288,0,0,1,1,0,0,106
346490,1,1,1,1,1,0,100
346693,1,1,1,1,1,0,100
347507,0,1,0,1,0,0,100
350639,1,1,1,1,1,0,100
357020,0,0,0,0,1,0,100
358081,0,1,0,1,0,0,100
363443,0,0,0,0,1,0,100
365529,1,0,1,1,0,0,100
365663,0,0,0,0,1,0,100
395485,1,0,1,0,0,0,100
401256,0,1,0,1,0,0,100
402954,1,1,0,0,0,0,100
415600,1,0,1,1,0,0,100
417928,1,1,0,0,0,0,100
431973,0,0,0,0,1,0,100
433689,1,1,0,0,0,0,100
438736,0,1,1,0,1,0,100
440717,1,0,1,0,0,0,100
445788,0,0,0,0,1,0,100
475707,0,1,0,1,0,0,147
479137,1,1,1,1,1,0,147
489425,0,1,1,0,1,0,147
491168,0,1,1,0,1,0,147
504453,0,1,1,0,1,0,147
504701,1,1,1,1,1,0,147
505789,0,1,1,0,1,0,147
510044,0,1,1,0,1,0,147
516121,1,1,1,1,1,0,147
518444,1,0,0,1,1,0,147
520024,0,1,0,1,0,0,147
521410,1,1,0,0,0,0,147
532503,1,0,1,0,0,0,82
534986,0,1,1,0,1,0,82
554344,1,1,1,1,1,0,82
557773,0,0,1,1,0,0,82
564729,0,0,1,0,0,0,82
581410,0,0,0,0,1,0,82
599210,1,0,1,0,0,0,127
604744,1,0,0,1,1,0,127
605643,0,1,0,1,0,0,127
605753,1,1,1,1,1,0,127
606887,0,1,1,0,1,0,127
609534,0,1,1,0,1,0,127
621333,0,1,1,0,1,0,127
628582,0,1,0,1,0,0,127
630279,1,1,0,0,0,0,127
645449,0,1,1,1,1,1,127
647727,1,0,0,1,1,0,127
648870,0,1,0,1,0,0,127
652403,0,0,0,0,1,0,127
659795,0,1,0,1,0,0,112
674521,1,1,1,0,1,1,112
675554,0,1,1,0,1,0,112
680919,1,1,0,0,0,0,112
681945,1,1,0,0,0,0,112
699249,0,0,1,1,0,0,112
703129,1,1,1,1,1,0,112
706260,1,0,0,1,1,0,112
713214,0,0,0,0,1,0,112
728840,1,1,0,0,0,0,136
740555,0,0,1,1,0,0,136
742793,0,0,1,1,0,0,136
747370,0,0,1,1,0,0,136
754300,1,1,1,1,1,0,136
754693,1,1,0,0,0,0,136
757046,0,0,0,0,1,0,136
765811,0,0,0,0,1,0,136
767079,0,1,0,0,0,0,136
781137,0,0,0,0,1,0,136
787690,0,1,1,0,1,0,150
791883,0,1,1,0,1,0,150
799540,0,0,0,0,1,0,150
802813,0,0,0,0,1,0,150
808527,1,0,0,1,1,0,150
853632,0,1,0,1,0,0,144
863030,1,0,1,0,0,0,144
867277,1,0,0,1,1,0,144
869874,0,0,1,1,0,0,144
871246,0,1,0,1,0,0,144
873705,1,1,1,1,1,0,144
879491,0,1,0,1,0,0,144
882751,1,1,1,1,1,0,144
887810,0,0,1,1,0,0,144
899310,1,0,1,0,0,0,144
900084,1,1,1,1,1,0,144
911130,0,0,1,1,0,0,144
918713,0,0,0,0,1,0,106
924676,0,0,1,1,0,0,106
925344,0,1,0,1,0,0,106
926361,1,1,0,0,0,0,106
937406,1,0,1,0,0,0,106
948402,0,0,1,1,0,0,106
952310,0,1,0,0,0,0,106
962849,1,0,0,1,1,0,106
965290,0,1,0,1,0,0,106
965659,1,0,1,0,0,0,106
969483,0,1,0,1,0,0,106
970928,0,1,0,1,0,0,106
984354,1,1,1,1,1,0,206
986468,1,1,0,0,0,0,206
1000409,0,0,0,1,1,1,206
1000897,1,1,0,0,0,0,206
1003111,0,1,1,0,1,0,206
1015893,0,1,1,0,1,0,206
1017927,0,1,0,1,0,0,206
1024321,1,1,0,0,0,0,206
1035634,1,1,1,1,1,0,206
1036485,1,0,1,1,0,0,206
1041069,0,0,1,1,0,0,206
1041256,1,1,0,0,0,0,206
1044085,0,1,1,0,1,0,206
1062227,1,1,1,1,1,0,90
1066133,0,0,1,1,0,0,90
1068292,0,1,0,1,0,0,90
1076636,1,0,0,1,1,0,90
1083440,0,0,0,0,1,0,90
1083466,0,1,1,0,1,0,90
1090091,1,1,1,1,1,0,90
1093143,1,1,1,1,1,0,90
1130068,1,0,1,0,0,0,147
1131070,1,1,1,1,1,0,147
1131225,1,0,1,0,0,0,147
1135747,1,1,0,0,0,0,147
1139393,0,0,1,1,0,0,147
1140870,0,1,1,0,1,0,147
1154087,1,1,1,1,1,0,147
1159066,0,0,1,1,0,0,147
1164479,1,0,0,1,1,0,147
1165822,1,0,1,0,0,0,147
1178535,0,1,1,0,1,0,147
1190071,1,1,1,1,1,0,112
1199297,0,1,0,1,0,0,112
1200798,1,0,0,1,1,0,112
1204453,1,1,1,1,1,0,112
1206787,0,0,1,1,0,0,112
1208967,1,0,1,0,0,0,112
1211287,0,0,0,0,1,0,112
1213306,0,1,1,0,1,0,112
1216579,1,0,1,0,0,0,112
1221460,0,0,1,1,0,0,112
1222250,1,0,1,0,0,0,112
1240137,0,1,1,0,1,0,112
1243184,1,1,0,0,0,0,112
1245905,0,1,0,1,0,0,128
1246385,1,0,0,1,1,0,128
1272624,0,0,1,1,0,0,128
1285291,0,1,1,0,1,0,128
1290750,1,0,1,0,0,0,128
1298962,0,1,1,0,1,0,128
1313216,1,1,0,0,0,0,107
1324298,0,1,0,1,0,0,107
1337440,0,1,0,1,0,0,107
1354266,1,1,1,1,1,0,107
1354477,0,0,1,1,0,0,107
1358694,0,1,1,0,1,0,107
1358896,0,0,1,1,0,0,107
1359114,1,1,0,0,0,0,107
1365075,0,0,0,0,1,0,107
1388030,0,0,1,1,0,0,86
1411825,0,0,0,1,1,1,86
1415497,0,1,1,0,1,0,86
1417334,1,1,1,1,1,0,86
1420904,0,0,0,0,1,0,86
1424636,1,1,0,0,0,0,86
1435611,0,1,0,1,0,0,86
1443817,1,0,1,0,0,0,117
1449388,0,0,1,1,0,0,117
1458416,1,0,1,0,0,0,117
1475268,0,0,0,0,1,0,117
1481591,0,1,1,0,1,0,117
1481719,0,0,1,1,0,0,117
1484620,1,0,1,0,0,0,117
1490033,0,1,1,0,1,0,117
1512934,1,0,0,1,1,0,64
1523515,1,1,0,0,0,0,64
1540652,0,0,1,1,0,0,64
1550863,1,1,1,1,1,0,64
1565179,1,1,0,0,0,0,64
