attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
372,1,1,1,1,1,0,141
1209,0,1,1,0,1,0,141
1379,1,0,0,1,1,0,141
1511,1,1,1,1,1,0,141
1588,0,0,1,1,0,0,141
1741,1,0,0,1,1,0,141
2219,1,0,1,0,0,0,141
2396,0,0,0,0,1,0,141
2509,1,0,0,1,1,0,141
2823,0,1,1,0,1,0,141
2839,1,1,1,1,1,0,141
2866,1,1,1,1,1,0,141
3072,0,1,0,0,0,0,141
3094,1,0,0,1,1,0,141
3235,0,0,1,0,0,0,141
3282,1,0,1,0,0,0,141
3334,1,0,0,1,1,0,141
3461,1,1,0,0,0,0,141
3489,0,1,0,1,0,0,141
3711,1,1,0,0,0,0,141
3951,1,0,1,0,0,0,141
4304,0,0,1,1,0,0,141
5002,0,0,1,1,0,0,141
5021,0,1,1,0,1,0,141
5063,1,0,0,1,1,0,141
5447,1,1,0,0,0,0,141
5629,0,0,1,1,0,0,141
5733,0,0,0,0,1,0,141
6183,0,1,1,0,1,0,141
6249,0,1,0,1,0,0,141
6508,1,1,0,0,0,0,141
6549,0,1,1,0,1,0,141
6993,0,1,0,1,0,0,141
7571,0,1,0,1,0,0,141
7593,0,1,0,1,0,0,141
7656,0,0,0,0,1,0,141
7851,0,1,1,0,1,0,141
7924,1,0,0,1,1,0,141
8100,0,0,0,0,1,0,141
8828,1,0,1,0,0,0,141
8870,1,0,0,1,1,0,141
8872,0,1,0,1,0,0,141
9097,1,1,0,0,0,0,141
9229,1,1,0,0,0,0,141
9455,0,0,0,0,1,0,141
10038,1,0,1,0,0,0,141
10406,1,1,1,1,1,0,141
10534,0,1,0,1,0,0,141
10564,0,1,0,1,0,0,141
10573,1,0,0,1,1,0,141
10602,1,0,0,1,1,0,141
10686,0,1,0,1,0,0,141
10846,1,1,0,0,0,0,141
11003,0,1,1,0,1,0,141
11144,0,1,1,0,1,0,141
11148,1,0,1,0,0,0,141
11280,1,1,0,0,0,0,141
11447,1,1,0,0,0,0,141
11674,1,1,0,0,0,0,141
11687,1,1,0,0,0,0,141
11703,0,0,0,0,1,0,141
11889,1,0,1,0,0,0,141
12035,0,1,1,0,1,0,141
12168,0,0,0,0,1,0,141
12188,0,1,1,0,1,0,141
12381,0,1,1,0,1,0,141
12427,1,0,0,1,1,0,141
12596,0,0,0,0,1,0,141
12693,0,0,1,1,0,0,141
12755,0,0,0,0,1,0,141
12813,1,1,1,1,1,0,141
12921,1,0,1,0,0,0,141
13035,0,0,1,1,0,0,141
13278,1,0,0,1,1,0,141
13292,0,1,1,0,1,0,141
13302,0,0,0,0,1,0,141
13486,0,0,0,0,1,0,141
13873,0,1,1,0,1,0,141
14024,0,0,0,0,1,0,141
14027,0,1,0,1,0,0,141
14063,1,0,0,1,1,0,141
14090,1,1,1,1,1,0,141
14216,1,1,1,1,1,0,141
14261,0,1,1,0,1,0,141
14311,0,1,1,0,1,0,141
14551,0,1,0,1,0,0,141
14981,1,1,0,0,0,0,141
15200,1,0,1,0,0,0,141
15257,0,1,1,0,1,0,141
15289,0,0,1,1,0,0,141
15424,0,0,1,1,0,0,141
15538,1,1,1,1,1,0,141
15585,0,0,0,0,1,0,141
15630,0,0,0,0,1,0,141
15807,0,0,1,1,0,0,141
15833,1,0,1,0,0,0,141
15989,1,0,0,1,1,0,141
16037,1,0,1,0,0,0,141
16040,0,0,1,1,0,0,141
16518,1,0,1,0,0,0,141
16560,1,0,0,1,1,0,141
16753,0,1,0,1,0,0,141
16778,0,0,1,1,0,0,141
16779,0,0,0,0,1,0,141
17055,1,1,1,1,1,0,141
17078,0,0,0,0,1,0,141
17276,0,1,0,1,0,0,141
17364,1,0,1,0,0,0,141
17400,0,0,1,1,0,0,141
17419,0,0,0,0,1,0,141
17499,0,1,0,0,0,0,141
17556,1,1,1,1,1,0,141
17665,1,1,0,0,0,0,141
17887,0,1,1,0,1,0,141
17907,1,1,0,0,0,0,141
18001,1,1,1,1,1,0,141
18026,0,0,1,1,0,0,141
18086,0,1,1,0,1,0,141
18163,0,0,1,1,0,0,141
18295,1,0,0,1,1,0,141
18329,0,1,0,1,0,0,141
18356,1,0,0,1,1,0,141
18407,1,0,1,0,0,0,141
18534,0,0,0,1,1,1,141
18604,1,1,1,1,1,0,141
18887,0,1,0,1,0,0,141
19021,0,0,0,0,1,0,141
19057,0,0,0,0,1,0,141
19244,1,1,0,0,0,0,141
19444,1,0,0,1,1,0,141
19656,1,1,0,0,0,0,141
20086,0,1,0,1,0,0,141
20420,0,0,1,1,0,0,141
20445,0,0,0,0,1,0,141
20779,0,1,1,0,1,0,141
20826,1,1,1,1,1,0,141
21062,0,0,0,0,1,0,141
