tag,phase,water,distance_m,turb,lam_nm,n_qubit,n_click,n_sift,n_err,p_click_meas,p_click_sim,p_click_ratio,z_click,qber_meas_pct,qber_lo_pct,qber_hi_pct,qber_sim_pct,qber_in_CI,skr_meas_pp,skr_sim_pp,cv_h_meas,cv_h_sim,sigma2_h_meas,sigma2_h_sim,irrad_sat,n_blocks,var_click,seconds,secure_meas
fixed_B_turb_L1,fixed,clear_ocean,25.0,1,450,10485760,12374,6124,228,0.0011800765991210938,0.001189251674930225,0.992285000725629,-0.46061695166248945,3.7230568256041803,3.2628725137607026,4.227962710710501,3.689666106451924,True,0.00029325250426799875,0.00032362164403930676,0.15857347586562193,0.1790405693219769,0.02514554724810498,0.03205552546313761,0.0,160.0,43625.389293394815,2823.612360900006,True
fixed_B_turb_L2,fixed,clear_ocean,25.0,2,450,10485760,12581,6274,226,0.001199817657470703,0.001189251674930225,1.0088845639347936,0.3009713964455473,3.6021676761236856,3.1547844951668833,4.093321121006927,3.689666106451924,True,0.00030765370137637003,0.00032362164403930676,0.26782070146720866,0.3558015995944232,0.0717279281343877,0.12659477827395027,0.0,160.0,135509.31731723694,2823.1401236999955,True
fixed_B_turb_L3,fixed,clear_ocean,25.0,3,450,10485760,12594,6392,239,0.0012010574340820313,0.001189251674930225,1.0099270485807799,0.18066990496930618,3.7390488110137667,3.2873545403372404,4.23355346196423,3.689666106451924,True,0.0003056825808204995,0.00032362164403930676,0.3879490041879317,0.6857226784985149,0.15050442985040785,0.47021559180717754,0.10894076544386215,160.0,469478.85017745465,2826.4381240000075,True
fixed_B_turb_L4,fixed,clear_ocean,25.0,4,450,10485760,11536,5679,222,0.00110015869140625,0.001189251674930225,0.9250848366228264,-0.7581713454918827,3.909138932910724,3.4200707243693214,4.446253377406789,3.689666106451924,True,0.00026157459912580624,0.00032362164403930676,0.4395592872092638,1.244719460647849,0.19321236697191604,1.5493265357154722,0.2844140083217753,160.0,1518280.7959494411,2825.343100000013,True
fixed_B_turb_L5,fixed,clear_ocean,25.0,5,450,10485760,13205,6612,231,0.0012593269348144531,0.001189251674930225,1.058923826942131,0.3493229495611765,3.493647912885663,3.064114198381659,3.964801563366315,3.689666106451924,True,0.0003315004833284451,0.00032362164403930676,0.360159800441813,2.130644296701709,0.12971508185428657,4.53964511906752,0.5975766755017039,160.0,4424610.276159296,2826.9466942,True
fixed_A_dist_d0_L3,fixed,clear_ocean,5.0,3,450,931584,10041,5001,78,0.010778416117065127,0.010390705048429205,1.0373132589972356,1.0971167127092405,1.5596880623875224,1.2347696625665388,1.9427865260556811,1.6426354950882422,True,0.003922679981162127,0.003939372153857476,0.11334341516667515,0.12236749907614805,0.012846729761645286,0.014973804830151094,0.0,14.21484375,108381.40571176658,292.19781060001696,True
fixed_A_dist_d1_L3,fixed,clear_ocean,10.0,3,450,1735680,10152,5000,100,0.005849004424778761,0.006040680527801046,0.9682691209806358,-0.6063146519896329,2.0,1.630168000778435,2.4272569792539804,2.1825403123282365,True,0.0019527950662273804,0.002104751203457826,0.2701345843266212,0.26459534660235867,0.07297269364931641,0.07001069744362232,0.0,26.484375,301078.07725614146,511.7973214999947,True
fixed_A_dist_d2_L3,fixed,clear_ocean,15.0,3,450,3179360,9902,5000,137,0.0031144632882089476,0.0035108369467927725,0.887099952350131,-1.9056259187487585,2.74,2.305278011538347,3.231003361391984,2.680262388306994,True,0.0009376042969395843,0.0011301576019231577,0.4239445804303011,0.4073541014674212,0.17972900727622404,0.16593736398233006,0.06927893354877802,48.51318359375,437334.44112139597,890.0951473000168,True
fixed_A_dist_d3_L3,fixed,clear_ocean,20.0,3,450,4043744,7799,4000,137,0.0019286581939905196,0.002041696640462165,0.944635043114898,-0.7842130243955857,3.4250000000000003,2.8831349266143222,4.03619890061048,3.167642968937101,True,0.0005156159735203368,0.0006069338806566654,0.4158182285448257,0.547785733217691,0.1729047991901569,0.30006920951684335,0.12976022566995768,61.70263671875,339743.8202383908,1117.359397399996,True
fixed_A_dist_d4_L3,fixed,clear_ocean,25.0,3,450,4798368,5846,3000,100,0.0012183308991723853,0.001189251674930225,1.0244516992114947,0.3010381476934665,3.3333333333333335,2.720190235859659,4.039528727732443,3.689666106451924,True,0.00032661268133939186,0.00032362164403930676,0.4103028904181216,0.6857226784985149,0.16834846188546512,0.47021559180717754,0.15531987683886417,73.21728515625,214837.29280169416,1314.1110712999944,True
fixed_A_dist_d5_L3,fixed,clear_ocean,30.0,3,450,6953536,4032,2000,82,0.0005798488711354913,0.0006353764639221993,0.9126067836319678,-1.0768689939741822,4.1000000000000005,3.273891410988626,5.063840339803214,4.395563493639661,True,0.0001251770619967386,0.0001523991451507019,0.4204136636905496,0.8214552955052011,0.17674764861771056,0.6747888025135373,0.3472222222222222,106.1025390625,128559.25962213041,1892.7399628999992,True
