tag,phase,water,dist_idx,distance_m,turb,lam_nm,n_qubit,n_click,n_sift,n_err,p_click,sift_eff,qber,qber_hi,secure,skr_per_pulse,seconds,rate_qps,p_click_model,qber_model,coh_sel,coh_qubits,dyn_walk,timestamp
fixed_B_turb_L1,fixed,clear_ocean,4,25.0,1,450,10485760,12374,6124,228,0.0011800765991210938,0.0005840301513671875,0.037230568256041804,0.041458667390807356,True,0.00029325250426799875,2823.612360900006,3713.5975692703582,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-08 08:35:27
fixed_B_turb_L2,fixed,clear_ocean,4,25.0,2,450,10485760,12581,6274,226,0.001199817657470703,0.0005983352661132812,0.036021676761236854,0.04013451612186132,True,0.00030765370137637003,2823.1401236999955,3714.2187566153843,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-08 09:22:30
fixed_B_turb_L3,fixed,clear_ocean,4,25.0,3,450,10485760,12594,6392,239,0.0012010574340820313,0.000609588623046875,0.03739048811013767,0.041531696847608636,True,0.0003056825808204995,2826.4381240000075,3709.884858600914,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-08 10:09:37
fixed_B_turb_L4,fixed,clear_ocean,4,25.0,4,450,10485760,11536,5679,222,0.00110015869140625,0.0005415916442871094,0.03909138932910724,0.043589176754321654,True,0.00026157459912580624,2825.343100000013,3711.3227062582073,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-08 10:56:42
fixed_B_turb_L5,fixed,clear_ocean,4,25.0,5,450,10485760,13205,6612,231,0.0012593269348144531,0.0006305694580078125,0.034936479128856626,0.038881884961489054,True,0.0003315004833284451,2826.9466942,3709.217447047538,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-08 11:43:49
fixed_A_dist_d0_L3,fixed,clear_ocean,0,5.0,3,450,931584,10041,5001,78,0.010778416117065127,0.005368275968672712,0.015596880623875225,0.01879888842969512,True,0.003922679981162127,292.19781060001696,3188.196373159087,0.010390705048429205,0.016426354950882422,11,65536,False,2026-08-08 11:56:38
fixed_A_dist_d1_L3,fixed,clear_ocean,1,10.0,3,450,1735680,10152,5000,100,0.005849004424778761,0.002880715339233038,0.02,0.023573003025433102,True,0.0019527950662273804,511.7973214999947,3391.3424847808974,0.006040680527801046,0.021825403123282367,11,65536,False,2026-08-08 12:05:10
fixed_A_dist_d2_L3,fixed,clear_ocean,2,15.0,3,450,3179360,9902,5000,137,0.0031144632882089476,0.0015726435509033265,0.0274,0.03150858988019794,True,0.0009376042969395843,890.0951473000168,3571.9327418469343,0.0035108369467927725,0.02680262388306994,11,65536,False,2026-08-08 12:20:00
fixed_A_dist_d3_L3,fixed,clear_ocean,3,20.0,3,450,4043744,7799,4000,137,0.0019286581939905196,0.0009891823023415924,0.03425,0.03936489163418401,True,0.0005156159735203368,1117.359397399996,3619.018204357042,0.002041696640462165,0.03167642968937101,11,65536,False,2026-08-08 12:38:38
fixed_A_dist_d4_L3,fixed,clear_ocean,4,25.0,3,450,4798368,5846,3000,100,0.0012183308991723853,0.0006252125722745733,0.03333333333333333,0.03924043191438161,True,0.00032661268133939186,1314.1110712999944,3651.417376198785,0.001189251674930225,0.03689666106451924,11,65536,False,2026-08-08 13:00:32
fixed_A_dist_d5_L3,fixed,clear_ocean,5,30.0,3,450,6953536,4032,2000,82,0.0005798488711354913,0.0002876234479838747,0.041,0.049060886662994595,True,0.0001251770619967386,1892.7399628999992,3673.7936199888763,0.0006353764639221993,0.043955634936396606,11,65536,False,2026-08-08 13:32:05
fixed_A_dist_d6_L3,fixed,clear_ocean,6,35.0,3,450,9119008,2366,1200,56,0.00025945804631380957,0.00013159326102137425,0.04666666666666667,0.05795868192239712,True,4.7561021095943556e-05,2447.9534257999912,3725.1558399318433,0.00027805438382544345,0.058356691546911074,11,65536,False,2026-08-08 14:12:53
fixed_A_dist_d7_L3,fixed,clear_ocean,7,40.0,3,450,8347904,1231,600,43,0.00014746216535312337,7.187432917292772e-05,0.07166666666666667,0.09144622944575284,True,8.441092466367248e-06,2211.2565315999964,3775.1856832095896,0.00013061992737861683,0.08454949624129844,11,65536,False,2026-08-08 14:49:44
