water,distance_m,turb_level,lambda_nm,N_pulses,n_click,n_sift,n_err,P_click,QBER_pct,QBER_lo_pct,QBER_hi_pct,SKR_bps,outage,secure
clear_ocean,5,3,450,2000000,21029,10524,145,1.0514e-02,1.38,1.16,1.62,4.158e+04,0.000,Yes
clear_ocean,10,3,450,2000000,12380,6084,127,6.1900e-03,2.09,1.74,2.48,2.152e+04,0.000,Yes
clear_ocean,15,3,450,2000000,7236,3643,112,3.6180e-03,3.07,2.54,3.69,1.100e+04,0.000,Yes
clear_ocean,20,3,450,2950000,6216,3190,111,2.1071e-03,3.48,2.87,4.18,6.101e+03,0.017,Yes
clear_ocean,25,3,450,5050000,5790,2752,108,1.1465e-03,3.92,3.23,4.72,2.847e+03,0.050,Yes
clear_ocean,30,3,450,9450000,5924,3040,132,6.2688e-04,4.34,3.65,5.13,1.559e+03,0.190,Yes
clear_ocean,35,3,450,21600000,6032,2962,155,2.7926e-04,5.23,4.46,6.10,5.589e+02,0.204,Yes
clear_ocean,40,3,450,45950000,5789,2897,274,1.2598e-04,9.46,8.42,10.58,6.106e+01,0.232,Yes
clear_ocean,45,3,450,89750000,5743,2951,416,6.3989e-05,14.10,12.86,15.40,0.000e+00,0.202,No
clear_ocean,50,3,450,156750000,6001,2957,604,3.8284e-05,20.43,18.99,21.93,0.000e+00,0.177,No
clear_ocean,55,3,450,238950000,6163,2976,792,2.5792e-05,26.61,25.03,28.24,0.000e+00,0.153,No
clear_ocean,60,3,450,317500000,6029,3078,1089,1.8989e-05,35.38,33.69,37.10,0.000e+00,0.158,No
clear_ocean,65,3,450,377100000,6078,3089,1275,1.6118e-05,41.28,39.53,43.04,0.000e+00,0.156,No
clear_ocean,70,3,450,415100000,6054,3024,1410,1.4584e-05,46.63,44.84,48.42,0.000e+00,0.156,No
clear_ocean,75,3,450,436850000,5908,2986,1382,1.3524e-05,46.28,44.48,48.09,0.000e+00,0.147,No
clear_ocean,80,3,450,448650000,6210,2939,1416,1.3842e-05,48.18,46.36,50.00,0.000e+00,0.146,No
coastal,2,3,450,2000000,17139,8596,193,8.5695e-03,2.25,1.94,2.58,2.966e+04,0.000,Yes
coastal,4,3,450,2000000,8210,4043,131,4.1050e-03,3.24,2.72,3.83,1.187e+04,0.000,Yes
coastal,6,3,450,3100000,6016,2943,132,1.9406e-03,4.49,3.77,5.30,4.479e+03,0.016,Yes
coastal,8,3,450,6500000,6158,3003,151,9.4738e-04,5.03,4.27,5.87,1.963e+03,0.085,Yes
coastal,10,3,450,13400000,6117,3134,187,4.5649e-04,5.97,5.16,6.85,8.133e+02,0.216,Yes
coastal,13,3,450,38550000,5980,2966,300,1.5512e-04,10.11,9.05,11.26,4.213e+01,0.313,No
coastal,16,3,450,100500000,6013,3058,450,5.9831e-05,14.72,13.48,16.02,0.000e+00,0.203,No
coastal,19,3,450,212050000,6058,3091,792,2.8569e-05,25.62,24.09,27.20,0.000e+00,0.171,No
coastal,22,3,450,333200000,5959,3032,1116,1.7884e-05,36.81,35.09,38.55,0.000e+00,0.154,No
coastal,25,3,450,409850000,5926,2938,1343,1.4459e-05,45.71,43.90,47.53,0.000e+00,0.150,No
coastal,28,3,450,443250000,6068,2929,1368,1.3690e-05,46.71,44.89,48.53,0.000e+00,0.144,No
coastal,31,3,450,456300000,6023,2942,1471,1.3200e-05,50.00,48.18,51.82,0.000e+00,0.151,No
